aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
73065,122,303,10,0,1,436,gen25ac
73066,200,456,17,2,4,679,gen25ac
73067,193,397,20,2,7,619,gen25ac
73068,99,444,14,0,1,558,gen25ac
73069,253,182,16,0,1,452,gen25zm
73070,0,0,0,0,0,0,Tie
73071,0,0,0,0,0,0,Tie
73072,0,0,0,0,0,0,Tie
74001,186,210,17,0,3,416,gen25ac
74002,158,130,12,0,0,300,gen25zm
74003,180,193,22,1,10,406,gen25ac
74004,168,210,20,0,2,400,gen25ac
74005,114,150,12,0,0,276,gen25ac
74006,123,128,9,0,3,263,gen25ac
74007,82,59,7,0,0,148,gen25zm
74008,197,306,13,0,2,518,gen25ac
74009,105,75,9,0,1,190,gen25zm
74010,254,252,15,1,2,524,gen25zm
74011,317,266,38,2,9,632,gen25zm
74012,284,249,27,2,6,568,gen25zm
74013,218,181,17,0,6,422,gen25zm
74014,208,173,18,0,5,404,gen25zm
74015,178,176,22,1,1,378,gen25zm
74016,207,141,13,2,2,365,gen25zm
74017,292,111,22,1,4,430,gen25zm
74018,325,131,26,0,0,482,gen25zm
74019,245,115,32,0,1,393,gen25zm
74020,264,110,19,0,4,397,gen25zm
74021,165,76,13,0,2,256,gen25zm
74022,292,151,20,1,7,471,gen25zm
74023,246,137,22,1,5,411,gen25zm
74024,239,128,19,0,3,389,gen25zm
74025,159,68,30,1,1,259,gen25zm
74026,353,101,12,1,2,469,gen25zm
74027,365,87,9,1,3,465,gen25zm
74028,259,47,9,0,1,316,gen25zm
74029,82,49,12,1,0,144,gen25zm
74030,139,84,14,1,1,239,gen25zm
74031,372,60,13,1,1,447,gen25zm
74032,47,38,14,0,0,99,gen25zm
74033,205,26,8,0,0,239,gen25zm
74034,157,39,2,0,2,200,gen25zm
74035,342,50,11,0,1,404,gen25zm
74036,256,43,6,0,4,309,gen25zm
74037,32,15,3,0,2,52,gen25zm
74038,43,41,8,1,0,93,gen25zm
74039,28,15,3,0,0,46,gen25zm
74040,13,5,5,0,0,23,gen25zm
74041,108,40,5,0,5,158,gen25zm
74042,104,76,11,0,1,192,gen25zm
74043,299,51,8,0,3,361,gen25zm
74044,91,173,5,0,0,269,gen25ac
74045,120,252,8,0,1,381,gen25ac
74046,129,71,17,0,0,217,gen25zm
74047,91,129,9,0,1,230,gen25ac
74048,166,170,8,1,0,345,gen25ac
74049,179,143,14,0,6,342,gen25zm
74050,225,160,9,0,4,398,gen25zm
74051,277,238,14,2,3,534,gen25zm
74052,187,130,10,1,0,328,gen25zm
74053,283,77,15,1,2,378,gen25zm
74054,130,120,13,0,2,265,gen25zm
74055,170,223,12,0,5,410,gen25ac
74056,139,232,11,1,2,385,gen25ac
74057,187,250,8,0,2,447,gen25ac
74058,167,161,9,0,5,342,gen25zm
74059,218,283,17,0,5,523,gen25ac
74060,83,88,5,0,3,179,gen25ac
74061,74,103,1,0,2,180,gen25ac
74062,92,90,6,0,0,188,gen25zm
74063,35,58,0,0,0,93,gen25ac
74064,21,10,0,0,0,31,gen25zm
74065,59,58,4,0,0,121,gen25zm
74066,0,0,0,0,0,0,Tie
74067,0,0,0,0,0,0,Tie
74068,0,0,0,0,0,0,Tie
74069,0,0,0,0,0,0,Tie
74070,0,0,0,0,0,0,Tie
75001,282,246,17,0,5,550,gen25zm
75002,217,414,25,1,8,665,gen25ac
75003,100,136,6,0,1,243,gen25ac
75004,60,146,5,0,3,214,gen25ac
75005,118,301,13,1,1,434,gen25ac
75006,227,280,20,1,7,535,gen25ac
75007,180,141,15,1,1,338,gen25zm
75008,331,273,21,1,7,633,gen25zm
75009,80,28,8,0,2,118,gen25zm
75010,205,244,16,0,1,466,gen25ac
75011,88,165,14,1,4,272,gen25ac
75012,132,144,12,0,5,293,gen25ac
75013,128,161,18,1,2,310,gen25ac
75014,60,37,3,1,0,101,gen25zm
75015,150,73,11,0,1,235,gen25zm
75016,50,58,3,1,4,116,gen25ac
75017,158,104,7,0,2,271,gen25zm
75018,57,108,7,0,1,173,gen25ac
75019,0,0,0,0,0,0,Tie
75020,75,125,14,0,1,215,gen25ac
75021,79,103,3,0,1,186,gen25ac
75022,117,182,6,0,0,305,gen25ac
75023,182,121,17,3,5,328,gen25zm
75024,199,248,11,0,1,459,gen25ac
75025,100,79,6,0,2,187,gen25zm
75026,198,264,5,0,0,467,gen25ac
75027,148,168,9,0,0,325,gen25ac
75028,231,214,8,1,3,457,gen25zm
75029,202,96,10,0,3,311,gen25zm
75030,134,74,17,1,0,226,gen25zm
75031,259,85,10,3,0,357,gen25zm
75032,246,66,9,1,0,322,gen25zm
75033,146,60,17,0,2,225,gen25zm
75034,173,83,15,1,1,273,gen25zm
75035,172,66,9,2,2,251,gen25zm
75036,47,24,9,0,1,81,gen25zm
75037,248,128,18,0,1,395,gen25zm
75038,232,141,30,2,6,411,gen25zm
75039,222,124,23,1,2,372,gen25zm
75040,216,125,11,2,3,357,gen25zm
75041,207,241,20,0,5,473,gen25ac
75042,229,139,11,1,5,385,gen25zm
75043,249,172,32,1,3,457,gen25zm
75044,303,190,15,0,7,515,gen25zm
75045,249,110,5,0,6,370,gen25zm
75046,248,129,10,0,2,389,gen25zm
75047,204,158,17,1,0,380,gen25zm
75048,166,97,5,0,0,268,gen25zm
75049,309,73,14,1,0,397,gen25zm
75050,189,65,10,0,3,267,gen25zm
75051,298,80,13,0,1,392,gen25zm
75052,142,66,8,0,2,218,gen25zm
75053,191,92,14,0,1,298,gen25zm
75054,111,76,10,0,2,199,gen25zm
75055,103,44,9,0,0,156,gen25zm
75056,176,42,16,1,2,237,gen25zm
