aded25,gen25zm,gen25ac,gen25cs,gen25ea,gen25othr,gen25tot,win25
79044,163,98,13,2,0,276,gen25zm
79045,108,84,11,2,1,206,gen25zm
79046,118,87,11,2,0,218,gen25zm
79047,273,138,21,0,0,432,gen25zm
79048,21,15,2,0,0,38,gen25zm
79049,155,90,14,1,2,262,gen25zm
79050,161,135,14,0,4,314,gen25zm
79051,169,131,19,3,2,324,gen25zm
79052,175,154,19,2,2,352,gen25zm
79053,99,105,5,2,1,212,gen25ac
79054,231,225,17,3,3,479,gen25zm
79055,312,289,31,7,6,645,gen25zm
79056,166,157,13,1,6,343,gen25zm
79057,35,44,10,0,1,90,gen25ac
80001,22,17,11,0,1,51,gen25zm
80002,37,12,5,0,0,54,gen25zm
80003,24,17,7,0,0,48,gen25zm
80004,32,22,21,0,1,76,gen25zm
80005,173,61,16,1,1,252,gen25zm
80006,199,110,44,2,2,357,gen25zm
80007,72,61,29,2,2,166,gen25zm
80008,85,27,6,0,0,118,gen25zm
80009,49,22,22,0,0,93,gen25zm
80010,167,177,67,0,4,415,gen25ac
80011,115,73,33,0,1,222,gen25zm
80012,103,61,21,0,1,186,gen25zm
80013,120,74,25,0,0,219,gen25zm
80014,143,65,26,1,2,237,gen25zm
80015,110,54,12,0,0,176,gen25zm
80016,93,48,13,1,0,155,gen25zm
80017,75,47,11,0,1,134,gen25zm
80018,176,172,52,1,2,403,gen25zm
80019,157,142,64,1,0,364,gen25zm
80020,63,105,60,0,2,230,gen25ac
80021,171,58,25,0,0,254,gen25zm
80022,114,133,19,1,1,268,gen25ac
80023,230,268,130,0,2,630,gen25ac
80024,215,183,65,0,6,469,gen25zm
80025,3,10,3,0,0,16,gen25ac
80026,87,79,18,0,0,184,gen25zm
80027,21,17,0,0,0,38,gen25zm
80028,51,30,3,0,0,84,gen25zm
80029,70,66,21,0,0,157,gen25zm
80030,92,48,13,1,1,155,gen25zm
80031,218,131,30,0,1,380,gen25zm
80032,68,35,11,1,0,115,gen25zm
80033,22,20,6,0,0,48,gen25zm
80034,212,158,16,2,1,389,gen25zm
80035,54,41,11,0,0,106,gen25zm
80036,128,84,3,0,0,215,gen25zm
80037,60,34,8,0,1,103,gen25zm
80038,51,26,3,1,1,82,gen25zm
80039,35,22,7,1,0,65,gen25zm
80040,80,17,11,0,0,108,gen25zm
80041,297,302,109,4,5,717,gen25ac
80042,88,71,42,0,1,202,gen25zm
80043,107,62,28,2,0,199,gen25zm
80044,46,43,18,0,0,107,gen25zm
80045,204,153,37,4,4,402,gen25zm
80046,63,26,5,1,0,95,gen25zm
80047,149,118,39,2,1,309,gen25zm
80048,33,47,18,0,2,100,gen25ac
80049,40,21,9,1,1,72,gen25zm
80050,61,29,7,2,0,99,gen25zm
80051,34,35,4,1,1,75,gen25ac
80052,14,23,0,0,0,37,gen25ac
80053,77,39,12,0,0,128,gen25zm
80054,434,262,10,4,9,719,gen25zm
80055,63,55,18,3,1,140,gen25zm
80056,72,22,4,0,0,98,gen25zm
80057,70,26,9,0,1,106,gen25zm
80058,0,0,0,0,0,0,Tie
80059,0,0,0,0,0,0,Tie
80060,0,0,0,0,0,0,Tie
80061,0,0,0,0,0,0,Tie
81001,34,26,10,1,1,72,gen25zm
81002,48,32,6,1,0,87,gen25zm
81003,29,23,4,0,0,56,gen25zm
81004,83,114,10,2,0,209,gen25ac
81005,46,15,9,0,0,70,gen25zm
81006,65,35,7,0,0,107,gen25zm
81007,90,26,5,1,1,123,gen25zm
81008,94,44,10,1,4,153,gen25zm
81009,191,131,14,1,2,339,gen25zm
81010,283,243,47,5,5,583,gen25zm
81011,382,220,55,1,4,662,gen25zm
81012,334,202,48,0,9,593,gen25zm
81013,14,13,2,0,1,30,gen25zm
81014,171,150,24,0,4,349,gen25zm
81015,303,374,28,1,7,713,gen25ac
81016,208,236,34,1,4,483,gen25ac
81017,435,236,46,0,3,720,gen25zm
81018,107,67,7,4,0,185,gen25zm
81019,345,294,29,1,6,675,gen25zm
81020,278,207,30,0,5,520,gen25zm
81021,350,269,35,2,9,665,gen25zm
81022,237,351,38,1,11,638,gen25ac
81023,327,140,19,0,3,489,gen25zm
81024,144,109,11,1,1,266,gen25zm
81025,149,360,13,2,10,534,gen25ac
81026,300,168,44,2,3,517,gen25zm
81027,233,239,29,1,5,507,gen25ac
81028,312,468,27,1,9,817,gen25ac
81029,260,414,39,0,7,720,gen25ac
81030,188,432,19,1,3,643,gen25ac
81031,269,514,32,0,5,820,gen25ac
81032,209,358,31,0,3,601,gen25ac
81033,80,137,34,1,4,256,gen25ac
81034,289,270,34,0,6,599,gen25zm
81035,279,249,62,1,10,601,gen25zm
81036,99,106,23,0,3,231,gen25ac
81037,172,115,36,0,1,324,gen25zm
81038,106,132,22,1,1,262,gen25ac
81039,119,106,37,1,1,264,gen25zm
81040,112,111,17,0,2,242,gen25zm
81041,70,65,32,0,2,169,gen25zm
81042,61,62,17,0,0,140,gen25ac
81043,52,65,34,0,2,153,gen25ac
81044,264,190,27,3,2,486,gen25zm
81045,106,70,28,0,0,204,gen25zm
81046,85,65,14,1,2,167,gen25zm
81047,93,56,5,2,0,156,gen25zm
81048,359,203,26,2,2,592,gen25zm
81049,194,141,23,3,2,363,gen25zm
81050,77,41,19,0,0,137,gen25zm
81051,146,34,12,0,0,192,gen25zm
81052,156,155,14,1,0,326,gen25zm
81053,175,129,25,1,4,334,gen25zm
81054,200,162,17,4,4,387,gen25zm
81055,82,75,6,0,0,163,gen25zm
81056,248,205,36,0,5,494,gen25zm
81057,169,103,18,3,1,294,gen25zm
81058,183,125,12,1,3,324,gen25zm
81059,0,0,0,0,0,0,Tie
