aded25,gen21tot,gen21ea,gen21cs,gen21othr,win21,rvtot25,rvactive725,rvhisp,rvjwsh,rvirit,rvmslm,rvchns,rvgopnop,cvapnhw,cvapblack,cvaphisp,cvapasian,acsbaplus,acsmedinc125,acsmedinc45,ascown,ascrent,cvapyouth,cvapsenior,djt2024,ea2021,cs2021,bikelanefilter
23041,448.092,147.395,283.601,17.097,Curtis Sliwa,1251,1000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
23042,217.626,84.389,125.663,7.574,Curtis Sliwa,991,775,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
23043,8.408,3.205,5.036,0.166,Curtis Sliwa,26,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
23044,559.197,223.316,314.356,21.526,Curtis Sliwa,1718,1521,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
23045,480.724,170.524,299.809,10.391,Curtis Sliwa,1101,969,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23046,404.68,184.688,199.219,20.772,Curtis Sliwa,1862,1493,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
23047,69.016,27.358,37.928,3.731,Curtis Sliwa,1268,1059,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1
23048,460.23,169.652,273.708,16.87,Curtis Sliwa,1340,1143,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23049,404.978,174.119,216.931,13.928,Curtis Sliwa,1666,1384,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
23050,110.864,57.36,50.13,3.374,Eric Adams,663,551,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
23051,242.847,126.427,107.828,8.593,Eric Adams,1172,917,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
23052,182.218,104.527,75.116,2.575,Eric Adams,711,561,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
23053,263.912,172.424,85.786,5.702,Eric Adams,1847,1375,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
23054,245.092,175.011,64.266,5.815,Eric Adams,1781,1307,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
23055,104.845,56.564,44.273,4.008,Eric Adams,653,461,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
23056,122.625,62.957,54.856,4.811,Eric Adams,592,451,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
23057,146.764,73.759,67.446,5.56,Eric Adams,1035,761,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
23058,335.145,45.58,274.372,15.193,Curtis Sliwa,736,648,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
23059,272.41,46.028,209.866,16.516,Curtis Sliwa,657,585,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1
23060,285.83,93.264,179.257,13.309,Curtis Sliwa,1249,968,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0
23061,139.761,61.666,74.673,3.423,Curtis Sliwa,34,27,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
23062,211.54,109.034,96.19,6.316,Eric Adams,1569,1216,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
23063,92.894,54.805,36.23,1.858,Eric Adams,945,656,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
